Accepted_SPNAME,CommonName.L,Duration.L,Habit.L,SizeNotes.L,WaterUse.L,SolpH.L,SoilDescription.L,UseWildlife.L,InterestingFoliage.L,FragrantFoliage.L,CommercialAvail.L,PropagationDescription.L,Plant.Type.M,Maintenance.M,Zone.From.M,Zone.To.M,Bloom.From.M,Bloom.To.M,Showy.E,Height.(feet).E,Lifespan.E,Growth.Form.E,Shape.and.Orientation.E,Fall.Conspicuous.E,Leaf.Retention.E,Soil.Moisture.E,Moisture.Use.E,Soil.Texture.E,Salt.Tolerance.E,Fertility.Requirement.E,Growth.Rate.E,Active.Growth.Period.E,Hedge.Tolerance.E,Resprout.Ability.E,Drought.Tolerance.E,Fire.Tolerance.E,Palatability.(Browsing/Grazing).E,Propagation.E,Pollinator.Value.E,Benefits.To.Pollinators.E,Pollinators.E,Native.Bees.(except.Bombus).E,Bombus.E,Honey.Bees.E,"Beetles,.Wasps,.Flies.E",Moths.E,Butterflies.E,Monarchs.E,Nesting.and.Structure.(Bees).E,Larval.Host.(Monarch).E,Larval.Host.(Butterfly).E,Larval.Host.(Moth).E,Larval.Species.(Lepidoptera).E,Hummingbirds.E,Bats.E,Wind.E,Plant.Type.E,Full Sun,Part Shade,Full Shade,Wet,Medium,Dry
Asclepias incarnata,"Swamp Milkweed, Pink Milkweed",Perennial,Herb,Up to about 5 feet tall.,High,,"Rich, wet, very muddy to average garden moisture. One of the few ornamentals that thrives in mucky clay soils. Prefers neutral to slightly acidic soil but will tolerate heavy clay.",Milkweeds are an important food source for the monarch caterpillar.,yes,,,Easy to start from seed. Established plants may be divided in spring.,Herbaceous perennial,Low,3.0,6.0,July,August,Yes,3–5,Moderate,Rhizomatous,Erect,No Color,Deciduous,Moist,High,,Medium,Medium,Moderate,Spring,,No,,Low,/Low,"Seed, Sprig",Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees); Larval Host (Monarch); Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Danaus gilippus, Danaus plexippus, Trichordestra legitima",Yes,,,Herb (perennial),True,True,False,True,True,False
Asclepias lanceolata,"Fewflower Milkweed, Few-flower Milkweed, Red Milkweed",Perennial,Herb,Up to about 5 feet tall.,High,,"Wet soils, both fresh and brackish.",,,,,,,,,,,,Yes,3–5,,,,,,Wet,,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Monarch); Larval Host (Butterfly)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Danaus plexippus,,,,Herb (perennial),True,True,False,True,False,False
Asclepias linaria,"Pine-needle Milkweed, Needle-leaf Milkweed",Perennial,Herb,Up to about 5 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asclepias linearis,Slim Milkweed,Perennial,Subshrub,Up to about 20 inches tall.,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Hummingbirds",Yes,Yes,Yes,Yes,,Yes,,,,Yes,,Danaus gilippus,Yes,,,"Shrub, Herb (perennial)",False,False,False,False,False,False
Asclepias longifolia,Longleaf Milkweed,Perennial,Herb,,,,,,,,,,,,,,,,Yes,,,,,,,"Moist, Dry",,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Monarch); Larval Host (Butterfly)",Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Danaus plexippus,,,,Herb (perennial),False,False,False,False,False,False
Asclepias mexicana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asclepias pedicellata,Savanna Milkweed,Perennial,Herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asclepias perennis,"White Swamp Milkweed, Aquatic Milkweed",Perennial,Herb,Up to about 32 inches tall.,,,,,,,,,,,,,,,Yes,,,,,,,Wet,,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs; Larval Host (Monarch); Larval Host (Butterfly)",Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,Danaus plexippus,,,,Herb (perennial),True,True,False,True,True,False
Asclepias pulchra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asclepias pumila,Plains Milkweed,Perennial,Herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asclepias purpurascens,Purple Milkweed,Perennial,Herb,,,,,,,,,,Herbaceous perennial,Low,3.0,8.0,May,July,Yes,2.5–3.5,,,,,,"Moist, Dry",,,,,,,,,,,,,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees); Larval Host (Monarch); Larval Host (Butterfly); Hummingbirds",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Danaus plexippus,Yes,,,Herb (perennial),True,False,False,False,True,True
Asclepias quadrifolia,Fourleaf Milkweed,Perennial,Herb,,,,,,,,,,Herbaceous perennial,Low,5.0,8.0,May,July,Yes,,,,,,,,,,,,,,,,,,,,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Monarch); Larval Host (Butterfly)",Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Danaus plexippus,,,,Herb (perennial),True,True,True,False,True,True
Asclepias rubra,"Red Milkweed, Tall Pink Bog Milkweed",Perennial,Herb,Up to about 40 inches in height.,High,Acidic (pH<6.8),Moist to wet acidic soils.,Larval food for Monarch butterfly.,,,,,,,,,,,Yes,,,,,,,Wet,,,,,,,,,,,,,High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies",Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,Herb (perennial),True,True,False,True,True,False
Asclepias speciosa,Showy Milkweed,Perennial,Herb,"Generally 1 1/2-3 ft, but can reach 6 ft (1.8 m) under favorable conditions.",Medium,,"Can grow in course, medium, and fine soils.",Hummingbirds.,,,yes,Root cuttings can be taken in fall or early spring. Seeds may be sown outside in late fall or the following spring. Germination of spring-planted seeds is enhanced by moist stratification.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,True,False
Asclepias sullivantii,"Prairie Milkweed, Sullivant's Milkweed, Smooth Milkweed",Perennial,Herb,Up to about 3 feet tall.,Medium,,Various moist soils.,,,,yes,Root cuttings can be taken in fall or early spring. Seeds may be sown outside in late fall or the following spring. Germination of spring-planted seeds is enhanced by moist stratification.,Herbaceous perennial,Low,3.0,7.0,June,July,Yes,1–4,,,,,,,,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Monarch); Larval Host (Butterfly); Hummingbirds",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Danaus plexippus,Yes,,,Herb (perennial),True,False,False,True,True,False
Asclepias syriaca,Common Milkweed,Perennial,Herb,Typically 3-5 feet (90-150 cm) but can reach 8 feet (240 cm) in ditches and gardens.,,,"Medium to fine sandy, clayey, or rocky calcareous soils. Also found in well-drained loamy soils.",,,,,Spreads via rhizomes and forms small to large clones. Rhizomes can be cut and transplanted early in the spring.,Herbaceous perennial,Low,3.0,9.0,June,August,Yes,2–3,,,,,,"Moist, Dry",,,Medium,,,,,,,,,,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees); Larval Host (Monarch); Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Danaus plexippus, Hyalophora cecropia, Papaipema nebris, Parrhasius m-album, Phragmatobia lineata",,,,Herb (perennial),True,True,False,False,True,True
Asclepias tuberosa,"Butterflyweed, Butterfly Weed, Butterfly Milkweed, Orange Milkweed, Pleurisy Root, Chigger Flower, Chiggerweed",Perennial,Herb,1-2 ft (30-60 cm).,Low,,Prefers well-drained sandy soils. Tolerates drought.,,,,yes,"The easiest method of propagation is root cuttings. In the fall, cut the",Herbaceous perennial,Low,3.0,9.0,June,August,Yes,1–3,Moderate,Multiple Stem,Erect,No Color,Deciduous,Dry,Low,,Medium,Low,Slow,"Spring, Summer",,No,High,High,Low/Low,"Seed, Container",Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees); Larval Host (Monarch); Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Danaus gilippus, Danaus gilippus berenice, Danaus plexippus, Danaus plexippus plexippus, Pygarctia eglenensis",Yes,,,Herb (perennial),True,True,False,False,True,True
Asclepias variegata,"Redring Milkweed, White-flowered Milkweed",Perennial,Herb,1-4 ft (30-121 cm).,Low,,Sandy to rocky.,,,,,,,,,,,,Yes,2.5–3,,,,,,"Moist, Dry",,,,,,,,,,,,,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Monarch); Larval Host (Butterfly)",Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Danaus plexippus,,,,Herb (perennial),True,True,False,False,False,True
Asclepias verticillata,"Whorled Milkweed, Eastern Whorled Milkweed",Perennial,Herb,Up to about 3 feet tall.,Low,,"Sandy, clayey or rocky soils.",,,,yes,Plant seeds outside in the fall. Seedlings will germinate immediately but may not flower until the second year.,Herbaceous perennial,Low,4.0,9.0,June,September,Yes,1–2,,,,,,"Moist, Dry",,,Medium,,,,,,,,,,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees); Larval Host (Monarch); Larval Host (Butterfly)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Danaus plexippus,,,,Herb (perennial),True,True,False,False,True,True
Asclepias viridiflora,"Green Comet Milkweed, Green-flowered Milkweed, Green Milkweed, Wand Milkweed",Perennial,Herb,Up to about 2 feet tall.,Low,,,,,,,,,,,,,,Yes,1–3,,,,,,Dry,,Coarse,,,,,,,,,,,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Monarch); Larval Host (Butterfly)",Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Danaus plexippus,,,,Herb (perennial),True,False,False,False,False,True
Asclepias viridis,"Green Milkweed, Spider Milkweed",Perennial,Herb,9 3/4 - 25 1/2 in (25-65 cm).,Low,,,,,,yes,,Herbaceous perennial,Low,5.0,9.0,May,July,Yes,1–2,,,,,,Dry,,,Medium,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs; Larval Host (Monarch); Larval Host (Butterfly)",Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,Danaus plexippus,,,,Herb (perennial),True,True,False,False,True,True
Ascyrum stans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asimina incana,"Woolly Pawpaw, Flag-pawpaw, Polecat-bush",,Shrub,Up to about 5 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asimina parviflora,"Smallflower Pawpaw, Small-flower Pawpaw, Dwarf Pawpaw",Perennial,Shrub,,,,"Fertile, loose, acid soils.",,,,yes,"Plants are easily grown from scarified/stratified seed. Increase by root cuttings, layering, or dormant transplanting.",,,,,,,No,6–9,,,,,,"Moist, Dry",,,,,,,,,,,,,Medium,Adult Food; Larval Food,"Beetles, Wasps, Flies; Moths; Larval Host (Butterfly)",,,,Yes,Yes,,,,,Yes,,Eurytides marcellus,,,,Shrub,False,True,True,False,False,False
Asimina triloba,"Pawpaw, Common Pawpaw, Custard Apple, Indian Banana, Wild Banana",Perennial,Tree,,Medium,,"Rich, moist, slightly acid soils. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay",Small mammals relish the fragrant,,,yes,Trees are easily grown from scarified/stratified seed. Fall sow in a shady location. Some sources say seed is the only method of propagation while other say increase is possible by root cuttings or layering.,Tree,Low,5.0,9.0,April,May,No,10–40,Short,Single Stem,Erect,Color,Deciduous,"Moist, Dry",Medium,,,High,Slow,"Spring, Summer",Low,Yes,Low,Medium,Low/Low,"Seed, Container, Bare root",High,Adult Food; Larval Food,"Beetles, Wasps, Flies; Moths; Larval Host (Butterfly); Larval Host (Moth)",,,,Yes,Yes,,,,,Yes,Yes,"Agrius cingulata, Apatelodes torrefacta, Choristoneura obsoletana, Dichrorampha sedatana, Dolba hyloeus, Eurytides marcellus, Hemerocampa leucostigma, Hyphantria cunae, Omphalocera cariosa, Omphalocera munroei, Parasa indetermina, Talponia plummeriana",,,,"Tree, Shrub",True,True,True,True,True,False
Asperula tinctoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asplenium abscissum,"Cutleaf Spleenwort, Abscised Spleenwort",Perennial,Herb,To about 8 inches in height.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asplenium auritum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asplenium australasicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asplenium bradleyi,Bradley's Spleenwort,Perennial,Herb,Fronds up to about 8 inches long.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asplenium cuneatum,Wedgeleaf Spleenwort,,Herb,Fronds up to about 30 inches long.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asplenium montanum,Mountain Spleenwort,Perennial,Herb,To about 8 inches in height.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asplenium myriophyllum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asplenium nidus,Hawai'I Birdnest Fern,Perennial,Fern,Grows up to 4 feet in height.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asplenium pinnatifidum,Lobed Spleenwort,Perennial,Herb,Fronds up to about 8 inches long.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,True,False
Asplenium platyneuron,Ebony Spleenwort,Perennial,Fern,Normally 12 to 18 inches high,Medium,"Alkaline (pH>7.2) , Acidic (pH<6.8) , Circumneutral (pH 6.8-7.2)","Gravelly, slightly acid, well-drained soils. Sandy, Sandy Loam, Medium Loam, Limestone-based. Grows well in acid or alkaline soils.",,yes,,,Root division while dormant or spores,Fern,Medium,3.0,8.0,Non-flowering,Non-flowering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True
Asplenium pycnocarpon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asplenium resiliens,Blackstem Spleenwort,Perennial,Herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asplenium rhizophyllum,Walking Fern,Perennial,Herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,False
Asplenium ruta-muraria,Wallrue,,Herb,Fronds up to about 6 inches long.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False
Asplenium ruta muraria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asplenium scolopendrium,"Hart's Tongue Fern, Hart's Tonguefern, Hart's-tongue",,Herb,Fronds up to about 18 inches long.,,,,,,,,,Fern,Low,5.0,9.0,Non-flowering,Non-flowering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,False
Asplenium septentrionale,"Forked Spleenwort, Grassfern",Perennial,Herb,Dense tufts with leaves up to about 6 inches long.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Asplenium trichomanes,Maidenhair Spleenwort,Perennial,Herb,Fronds up to about 10 inches long.,,,Moist humus among limestone rocks.,,,,yes,Propagation is by rootstock division.,Fern,Low,5.0,8.0,Non-flowering,Non-flowering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,False
Asplenium viride,Brightgreen Spleenwort,,Herb,Fronds up to about 8 inches long.,,Alkaline (pH>7.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False
Aster acuminatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster adscendens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster alpinus,Alpine Aster,Perennial,Herb,Up to about 16 inches tall.,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,False
Aster asteroides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster azureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster concinnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster cordifolius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster divaricatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster dumosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster ericoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster grandiflorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster laevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster lanceolatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster lateriflorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster linariifolius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster longifolius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster macrophyllus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster multiflorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster oblongifolius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster paniculatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster patens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster pendulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster pilosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster puniceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster sibiricus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster spectabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster squarrosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster tenuifolius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aster umbellatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Astilbe biternata,"Appalachian False Goat's Beard, False Goatsbeard",Perennial,Herb,Up to about 6 feet tall.,Medium,,"Moist, rich soil.",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,True,False
Astragalus adsurgens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Astragalus alpinus,Alpine Milkvetch,Perennial,Herb,,,,,,,,,,,,,,,,Yes,,,,,,,"Moist, Dry",,,,,,,,,,,,,High,Adult Food; Larval Food,Native Bees; Bombus; Butterflies; Larval Host (Butterfly),Yes,Yes,,,,Yes,,,,Yes,,"Colias alexandra alexandra, Colias eurytheme, Colias hecla hecla, Colias meadii, Colias nastes, Colias nastes nastes, Lycaeides idas",,,,Herb (perennial),True,False,False,False,True,False
Astragalus bisulcatus,Twogrooved Milkvetch,Perennial,Herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Astragalus canadensis,"Canadian Milkvetch, Canada Milkvetch, Milk Vetch",Perennial,Herb,Up to about 4 feet tall.,Medium,,Moist to mesic soils,"Hummingbirds, Butterflies",,,yes,Easily propagated by seed sown unstratified in fall or stratified in spring.,Herbaceous perennial,Low,3.0,8.0,June,August,Yes,0.5,Short,Stoloniferous,Prostrate,No Color,Deciduous,"Wet, Moist",Medium,Medium,,Medium,Moderate,"Spring, Summer, Fall",,No,Medium,High,Low/Low,Seed,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,"Colias alexandra, Colias alexandra alexandra, Dicymolomia julianalis, Erynnis baptisiae",Yes,,,Herb (perennial),True,True,False,True,True,True
Astragalus crassicarpus,"Groundplum Milkvetch, Ground Plum",Perennial,Herb,Stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,True
Astragalus gilviflorus,Plains Milkvetch,,Herb,"Cushion forming, up to about 3 inches tall.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Astragalus hypoglottis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Astragalus missouriensis,Missouri Milkvetch,Perennial,Subshrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Astragalus pectinatus,Narrowleaf Milkvetch,Perennial,Herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Astragalus shortianus,Short's Milkvetch,Perennial,Herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Astragalus spatulatus,Tufted Milkvetch,Perennial,Herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Astragalus tridactylicus,Foothill Milkvetch,,Herb,Up to about 4 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Astragalus utahensis,"Utah Milkvetch, Utah Lady Finger, Locoweed",Perennial,Herb,"Spreading, to about 6 inches tall by 18 inches across.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Astranthium integrifolium,Entireleaf Western Daisy,Annual,Herb,Grows up to 20 inches in height.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Astrolepis sinuata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
